"Search (Enter)","Suchen (Enter)"
"Search term","Suchbegriff"
"Object type","Objekttyp"
"MobWeb_ObjectFinder::All","Alle"
"MobWeb_ObjectFinder::Order","Bestellung"
"MobWeb_ObjectFinder::Invoice","Rechnung"
"MobWeb_ObjectFinder::Shipment","Versand"
"MobWeb_ObjectFinder::Creditmemo","Gutschrift"
"MobWeb_ObjectFinder::Credit Memo","Gutschrift"
"MobWeb_ObjectFinder::Product","Produkt"
"Search Results","Suchresultate"
"Id","ID"
"Created_at","Erstellt"
"Url","URL"
"Multiple objects have been found for your search for «%s»","Bei der Suche nach «%s» wurden mehrere Objekte gefunden"
"No objects match your search for «%s»","Bei der Suche nach «%s» wurden keine Objekte gefunden"
